,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date
58,Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,27/11/2016
59,Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,27/11/2016
61,Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,28/05/2016
62,Abbotsford,82/84 Trenerry Cr,2,u,970000.0,SP,Biggin,28/05/2016
63,Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,30/07/2016
65,Abbotsford,40/80 Trenerry Cr,3,h,927000.0,S,Biggin,30/07/2016
66,Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,3/09/2016
67,Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,3/12/2016
68,Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,4/03/2017
70,Airport West,23 Hart St,2,h,603000.0,S,Nelson,4/03/2017
71,Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,4/03/2017
72,Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017
73,Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,4/03/2017
74,Airport West,4/9 West Ct,2,t,420000.0,VB,Barry,4/06/2016
75,Airport West,1/36 York St,3,t,500000.0,VB,Nelson,4/06/2016
76,Airport West,33 Bowes Av,5,h,1035000.0,S,Airport,6/08/2016
77,Airport West,89 Bowes Av,4,h,960000.0,S,Barry,6/08/2016
78,Airport West,45 Laurence Av,4,h,960000.0,S,Nelson,6/08/2016
79,Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,6/08/2016
80,Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,6/08/2016
81,Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,7/05/2016
82,Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,7/05/2016
83,Airport West,3/19 Hart St,2,u,515000.0,S,Barry,7/11/2016
84,Airport West,81a Roberts Rd,3,h,680000.0,VB,Nelson,8/10/2016
85,Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,10/09/2016
86,Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,10/09/2016
87,Airport West,3/24 Elstone Av,3,u,600000.0,VB,Nelson,10/09/2016
88,Airport West,13 Etzel St,3,h,805000.0,S,Nelson,10/12/2016
89,Airport West,37a North St,3,t,760000.0,PI,Barry,10/12/2016
90,Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,11/02/2017
91,Airport West,1/69 Bowes Av,3,u,580000.0,VB,Nelson,12/11/2016
92,Airport West,2/9 El Reno Cr,3,h,725000.0,PI,Ray,12/11/2016
93,Airport West,92 McNamara Av,4,h,758000.0,S,Jellis,13/08/2016
94,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016
95,Airport West,20 Creswell Av,3,h,970000.0,S,Barry,14/05/2016
96,Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,14/05/2016
97,Airport West,71 Bowes Av,4,h,985000.0,S,Barry,15/10/2016
98,Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,15/10/2016
99,Airport West,2/112 Parer Rd,2,u,509500.0,SP,Nelson,15/10/2016
100,Airport West,180 Parer Rd,3,h,830000.0,S,Barry,16/04/2016
101,Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,16/07/2016
102,Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,16/07/2016
103,Airport West,174 Parer Rd,2,h,675000.0,S,Barry,16/07/2016
104,Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,16/07/2016
105,Airport West,75 King St,3,h,910000.0,S,McDonald,17/09/2016
106,Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,17/09/2016
107,Airport West,7 McNamara Av,3,h,715000.0,S,Barry,17/09/2016
108,Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,18/03/2017
109,Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,18/03/2017
110,Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,18/03/2017
111,Airport West,1/41 Hillside Gr,2,t,460000.0,VB,Nelson,18/06/2016
112,Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,18/06/2016
113,Airport West,37 North St,3,t,825000.0,SP,Barry,19/11/2016
114,Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,22/05/2016
115,Airport West,7/42 York St,3,u,445000.0,S,Brad,22/05/2016
116,Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,22/08/2016
117,Airport West,2/13 North St,2,u,510000.0,S,Nelson,22/08/2016
118,Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,22/08/2016
119,Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,23/04/2016
120,Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,24/09/2016
122,Airport West,33 North St,3,h,720000.0,PI,Nelson,25/02/2017
123,Airport West,4/40 McNamara Av,2,u,474000.0,PI,Barry,26/07/2016
124,Airport West,5/93 McNamara Av,2,t,490000.0,SP,Frank,26/07/2016
125,Airport West,2/137 McNamara Av,3,h,405000.0,S,Ray,27/06/2016
126,Airport West,1/46 Bowes Av,3,t,715000.0,S,Barry,27/11/2016
127,Airport West,1/34 Elstone Av,3,u,671500.0,S,McDonald,27/11/2016
128,Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,27/11/2016
129,Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,27/11/2016
130,Airport West,22a Walters Av,3,u,820000.0,S,Nelson,28/08/2016
131,Airport West,1/145 Parer Rd,3,u,650000.0,PI,Nelson,30/07/2016
132,Airport West,3/35 Walters Av,3,t,552000.0,SP,Nelson,30/07/2016
133,Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,3/09/2016
134,Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,3/09/2016
135,Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,4/03/2017
136,Albert Park,94 Graham St,3,h,1850000.0,S,Greg,4/03/2017
138,Albert Park,396 Montague St,2,h,1436000.0,S,RT,4/03/2017
140,Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,6/08/2016
141,Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,7/05/2016
142,Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,7/05/2016
144,Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,7/11/2016
145,Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016
146,Albert Park,114 Victoria Av,3,h,2485000.0,S,Cayzer,8/10/2016
147,Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,10/09/2016
148,Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,10/09/2016
149,Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,10/09/2016
151,Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016
152,Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,10/12/2016
153,Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,10/12/2016
154,Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,10/12/2016
155,Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,12/06/2016
156,Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,12/11/2016
158,Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,15/10/2016
159,Albert Park,65 Graham St,2,h,1322500.0,S,Greg,15/10/2016
161,Albert Park,364 Montague St,2,h,1562500.0,S,Greg,15/10/2016
162,Albert Park,86 Mills St,3,h,2000000.0,VB,RT,16/04/2016
165,Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,18/03/2017
166,Albert Park,97 Page St,3,h,3010000.0,S,Greg,18/03/2017
168,Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,18/06/2016
170,Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,22/05/2016
172,Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,23/04/2016
176,Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,24/09/2016
177,Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,25/02/2017
178,Albert Park,115 Page St,4,h,4735000.0,S,Marshall,25/02/2017
179,Albert Park,32 Page St,2,h,1340000.0,S,Greg,25/02/2017
180,Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,25/02/2017
181,Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,26/07/2016
182,Albert Park,22 Greig St,3,h,3755000.0,S,Greg,26/07/2016
183,Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,27/06/2016
184,Albert Park,3 Faussett St,2,u,1810000.0,PI,Marshall,27/06/2016
185,Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,27/11/2016
186,Albert Park,6 Brooke St,2,h,980000.0,S,Greg,28/05/2016
190,Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,28/08/2016
191,Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,28/08/2016
192,Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,30/07/2016
193,Albert Park,9 Durham St,1,h,985000.0,S,Marshall,30/07/2016
195,Alphington,6 Smith St,4,h,2000000.0,S,Brace,3/09/2016
196,Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,3/09/2016
197,Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,4/03/2017
198,Alphington,1/9 Roemer Cr,2,u,480000.0,PI,Miles,7/05/2016
200,Alphington,2/21 Fulham Rd,3,t,1304000.0,SP,Holland,8/10/2016
201,Alphington,44 Shiers St,4,h,1717500.0,S,Collins,8/10/2016
202,Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,12/06/2016
204,Alphington,3/19 Harker St,2,u,525500.0,S,Miles,12/11/2016
205,Alphington,4/2 Miller St,2,t,805000.0,S,Miles,12/11/2016
206,Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,12/11/2016
208,Alphington,69 Lucerne Cr,3,h,1480000.0,S,Nelson,13/08/2016
209,Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,15/10/2016
210,Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,16/04/2016
212,Alphington,1/17 Rex Av,2,u,590000.0,PI,Nelson,17/09/2016
213,Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,18/03/2017
214,Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,19/11/2016
215,Alphington,38 Bennett St,4,h,2100000.0,S,Nelson,19/11/2016
216,Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,22/05/2016
217,Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,22/05/2016
218,Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,24/09/2016
219,Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,25/02/2017
220,Alphington,17 Lowther St,3,h,1361000.0,S,Collins,25/02/2017
222,Alphington,13a Fulham Rd,3,h,1310000.0,S,Jellis,26/07/2016
223,Alphington,32/23 Coate Av,3,h,570000.0,VB,Thomas,27/06/2016
224,Alphington,22 Lowther St,3,h,1165000.0,S,Barry,27/06/2016
225,Alphington,6/11 Broomfield Av,2,u,530000.0,S,Jellis,27/11/2016
226,Alphington,11 Margaret Gr,4,h,1900000.0,SP,McGrath,27/11/2016
228,Alphington,6 Naroon Rd,3,h,1485000.0,SP,McGrath,28/08/2016
229,Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,30/07/2016
230,Altona,158 Queen St,3,h,520000.0,VB,Greg,3/09/2016
231,Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,3/12/2016
232,Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,4/02/2016
233,Altona,4 Blyth St,3,h,1120000.0,S,Barlow,4/03/2017
234,Altona,20 Linnet St,4,h,780000.0,PI,Sweeney,4/06/2016
235,Altona,29 Rose St,4,h,1780000.0,SP,Greg,4/06/2016
236,Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,6/08/2016
237,Altona,5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,6/08/2016
238,Altona,156 Maidstone St,3,h,660000.0,VB,Greg,7/05/2016
239,Altona,11 Keeshan Ct,3,h,683500.0,S,Greg,7/11/2016
240,Altona,1/4 Deavey Ct,2,u,540000.0,VB,hockingstuart,8/10/2016
241,Altona,1/136 Queen St,2,u,580000.0,S,Barlow,8/10/2016
242,Altona,173 Queen St,3,h,1335000.0,S,hockingstuart,8/10/2016
243,Altona,1/265 Queen St,3,t,800000.0,SP,hockingstuart,8/10/2016
244,Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,10/09/2016
245,Altona,261 Queen St,4,h,1070000.0,S,Barlow,10/09/2016
246,Altona,4/5 Rose St,2,u,425000.0,S,hockingstuart,10/09/2016
247,Altona,1/60 David St,3,u,605000.0,S,Jas,10/12/2016
248,Altona,1A Merritt Ct,3,t,705000.0,S,hockingstuart,11/02/2017
249,Altona,4/31 Millers Rd,2,u,391000.0,SP,Greg,11/02/2017
250,Altona,111/112 Pier St,2,u,440000.0,SP,hockingstuart,11/02/2017
251,Altona,24 Wren St,4,h,845000.0,S,hockingstuart,11/02/2017
252,Altona,54 Seves St,3,h,766000.0,S,Williams,11/03/2017
253,Altona,1/152 Blyth St,3,t,743000.0,SP,Gunn&Co,12/11/2016
254,Altona,2/6 Galvin St,3,t,650000.0,SP,Williams,12/11/2016
255,Altona,4/57 Blyth St,3,u,730000.0,SP,Barlow,13/08/2016
256,Altona,10 Wilga Av,3,t,916500.0,S,hockingstuart,13/08/2016
257,Altona,164 Maidstone St,3,h,635000.0,S,Sweeney,14/05/2016
258,Altona,3/25 Rayner St,2,u,620000.0,SP,hockingstuart,14/05/2016
259,Altona,3/46 Sargood St,2,u,447000.0,S,Burnham,15/10/2016
260,Altona,1/57 Blyth St,3,u,730000.0,SP,Barlow,16/04/2016
261,Altona,22 Fenfield St,3,h,678000.0,S,hockingstuart,16/04/2016
262,Altona,5/8 David St,2,u,580000.0,PI,Biggin,16/07/2016
263,Altona,1/28 Seves St,3,h,712000.0,S,hockingstuart,17/09/2016
264,Altona,27 McIntyre Dr,3,h,840000.0,SP,Greg,18/03/2017
265,Altona,4 Boyd St,3,h,980000.0,S,Barlow,19/11/2016
266,Altona,5a Emu Av,4,h,1000000.0,S,Barlow,19/11/2016
267,Altona,12 Spear Ct,3,t,605100.0,S,hockingstuart,22/05/2016
268,Altona,185 Queen St,3,h,880000.0,PI,Barlow,22/08/2016
269,Altona,3/20 Mulga St,3,u,577000.0,S,Williams,23/04/2016
271,Altona,51 Millers Rd,4,h,1030000.0,S,Barlow,25/02/2017
272,Altona,2/119 Railway St N,3,u,605000.0,S,Barlow,25/02/2017
273,Altona,12 Ransom Av,3,h,685000.0,S,Barlow,25/02/2017
275,Altona,24 McIntyre Dr,3,h,753000.0,S,Barlow,27/06/2016
276,Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,27/11/2016
277,Altona,49 Bent St,3,h,1500000.0,S,Barlow,28/05/2016
278,Altona,5/57 Blyth St,3,u,730000.0,SP,Barlow,28/05/2016
279,Altona,15 Kookaburra St,3,h,900000.0,S,Sweeney,28/05/2016
280,Altona,219 Civic Pde,3,h,740000.0,S,Greg,28/08/2016
281,Altona,3 Curtin Ct,4,h,931000.0,S,Sweeney,28/08/2016
282,Altona,2/60 David St,2,h,535600.0,SP,Compton,30/07/2016
284,Altona North,45 Hearn St,5,h,1085000.0,S,FN,3/09/2016
285,Altona North,4 Knapp St,3,h,781000.0,S,Jas,3/09/2016
286,Altona North,103 Sixth Av,4,h,857500.0,S,hockingstuart,3/09/2016
287,Altona North,80A Hansen St,4,h,960000.0,S,Sweeney,4/03/2017
288,Altona North,21 Hatherley Gr,3,h,750000.0,SP,Jas,4/03/2017
289,Altona North,3/66 Marion St,2,t,421000.0,S,hockingstuart,4/03/2017
290,Altona North,153 Mills St,3,h,1405000.0,S,Sweeney,4/03/2017
292,Altona North,33 Carthy St,3,h,683000.0,S,FN,4/06/2016
294,Altona North,16 Harris St,3,h,623000.0,S,Sweeney,4/06/2016
295,Altona North,1/5 Little St,3,h,720000.0,VB,Greg,6/08/2016
296,Altona North,58a Clematis Av,4,t,780000.0,S,hockingstuart,7/05/2016
297,Altona North,1/77 Hansen St,3,u,720000.0,S,hockingstuart,7/05/2016
298,Altona North,21 Joel Av,3,h,705000.0,SP,Village,7/05/2016
299,Altona North,1/95 Mills St,3,h,588000.0,S,Williams,7/05/2016
300,Altona North,2/5 Stapley Cr,4,h,720000.0,VB,hockingstuart,7/05/2016
301,Altona North,5 Binns St,3,h,710000.0,PI,Village,7/11/2016
302,Altona North,2/9 First Av,2,h,550000.0,SP,RT,7/11/2016
303,Altona North,1/28 Irwin Av,3,u,640000.0,VB,hockingstuart,7/11/2016
304,Altona North,3/49 Misten Av,3,h,537500.0,SP,hockingstuart,7/11/2016
306,Altona North,25 Allan St,4,h,875000.0,SP,Jas,8/10/2016
307,Altona North,9 Fourth Av,3,h,800000.0,S,Barlow,8/10/2016
308,Altona North,11a Edward Av,3,t,713500.0,S,Greg,10/09/2016
310,Altona North,21 Hatherley Gr,3,h,700000.0,VB,Jas,10/12/2016
311,Altona North,1B Paproth Gr,2,h,551000.0,SP,RT,10/12/2016
312,Altona North,7 Seventh Av,3,h,685000.0,SP,Greg,10/12/2016
313,Altona North,1/256 Mason St,2,t,640000.0,S,Williams,11/03/2017
314,Altona North,21 Allan St,4,h,650000.0,SP,Williams,12/06/2016
315,Altona North,56a First Av,3,h,925000.0,SP,RT,12/11/2016
318,Altona North,85a First Av,3,t,670000.0,VB,Greg,14/05/2016
319,Altona North,22 Joel Av,3,h,680000.0,SP,Hunter,14/05/2016
320,Altona North,11 Mahon Av,3,h,765000.0,S,Greg,14/05/2016
321,Altona North,2/36 May St,3,h,675000.0,S,hockingstuart,14/05/2016
322,Altona North,11 Beevers St,3,h,708000.0,S,Greg,15/10/2016
323,Altona North,2/10 Cleghorn Av,3,t,656000.0,SP,Gunn&Co,15/10/2016
324,Altona North,2 Edward Av,4,h,883000.0,S,hockingstuart,15/10/2016
325,Altona North,10 Murphy St,4,h,965000.0,SP,Gunn&Co,15/10/2016
326,Altona North,128 Second Av,3,h,870000.0,S,Hunter,15/10/2016
327,Altona North,5/24 Valerian Av,3,h,681000.0,PI,Village,15/10/2016
328,Altona North,2/31 Cooper Av,2,h,522500.0,SA,hockingstuart,16/07/2016
329,Altona North,9 Begonia Av,5,h,972000.0,S,Sweeney,17/09/2016
330,Altona North,1/36 Amaranth Av,3,t,590000.0,PI,RT,18/06/2016
331,Altona North,3/36 Amaranth Av,2,h,450000.0,PI,RT,18/06/2016
332,Altona North,61 Cooper Av,3,h,765000.0,S,Greg,18/06/2016
333,Altona North,10 Freemans St,3,h,750000.0,VB,Greg,18/06/2016
334,Altona North,16 Beevers St,3,h,680000.0,S,Sweeney,19/11/2016
336,Altona North,150A McIntosh Rd,2,t,510000.0,SP,Williams,19/11/2016
337,Altona North,21 Neal Ct,3,h,770000.0,SP,hockingstuart,19/11/2016
338,Altona North,31 Duosa Rd,3,h,923000.0,S,Greg,22/05/2016
339,Altona North,252 Millers Rd,4,h,693000.0,SP,Raine&Horne,22/05/2016
340,Altona North,1/156 Chambers Rd,3,h,620000.0,SP,Hunter,22/08/2016
341,Altona North,19 Cleghorn Av,3,h,800000.0,S,Buxton,22/08/2016
342,Altona North,2 Gadsden St,3,h,728500.0,S,Jas,22/08/2016
343,Altona North,24 Hansen St,3,h,931000.0,S,hockingstuart,22/08/2016
344,Altona North,4 Prismall St,3,h,988000.0,S,Sweeney,22/08/2016
345,Altona North,1/21 Freemans Rd,3,h,590000.0,SP,RT,23/04/2016
346,Altona North,122 McIntosh Rd,3,h,590000.0,S,Village,23/04/2016
347,Altona North,35 May St,2,h,610000.0,S,RT,24/09/2016
349,Altona North,6 Hill St,3,h,815000.0,S,hockingstuart,25/02/2017
350,Altona North,84 May St,4,h,970000.0,S,Greg,25/02/2017
351,Altona North,81 Fifth Av,4,h,840000.0,S,hockingstuart,26/07/2016
352,Altona North,23 Huxtable Av,3,h,840000.0,S,Sweeney,26/07/2016
353,Altona North,155 Chambers Rd,4,h,760000.0,S,Hunter,27/06/2016
354,Altona North,61a First Av,3,h,852500.0,S,RT,27/06/2016
355,Altona North,268d Mason St,4,t,847500.0,S,RT,27/06/2016
356,Altona North,5 Cresser St,4,h,1200000.0,SP,RT,27/11/2016
357,Altona North,1/33 Fifth Av,3,h,630000.0,S,RT,27/11/2016
359,Altona North,107 McIntosh Rd,3,h,700000.0,SP,Hunter,27/11/2016
360,Altona North,10 Knapp St,3,h,625000.0,PI,Hunter,28/05/2016
361,Altona North,4/221 Blackshaws Rd,2,u,292000.0,S,Jas,28/08/2016
362,Altona North,56a MacDonald Av,3,t,640000.0,PI,hockingstuart,28/08/2016
363,Altona North,126 Sixth Av,3,h,800000.0,SP,RT,30/07/2016
365,Armadale,8/19 Mercer Rd,2,u,599000.0,S,Jellis,3/09/2016
366,Armadale,1/42 Adelaide St,2,u,550000.0,VB,Noel,3/12/2016
367,Armadale,14/71 Denbigh Rd,3,u,995000.0,S,Marshall,3/12/2016
368,Armadale,4/769 High St,3,t,1205000.0,S,Jellis,3/12/2016
370,Armadale,28 Lambeth Av,3,h,2675000.0,S,Marshall,3/12/2016
371,Armadale,7 Llaneast St,3,h,1939000.0,S,Jellis,3/12/2016
372,Armadale,9/55 Northcote Rd,1,u,421500.0,S,Biggin,3/12/2016
373,Armadale,1/7 Railway Av,2,u,585000.0,SP,hockingstuart,3/12/2016
374,Armadale,65 Barkly Av,3,h,2050000.0,S,Marshall,4/03/2017
375,Armadale,28 Cambridge St,3,h,1870000.0,S,Hodges,4/03/2017
377,Armadale,3/16 Fulton St,2,u,678000.0,S,hockingstuart,4/03/2017
380,Armadale,3/20 Mercer Rd,3,t,1918000.0,SP,Jellis,4/03/2017
382,Armadale,1/77 Wattletree Rd,2,u,660000.0,SP,hockingstuart,4/03/2017
383,Armadale,12 Willis St,3,h,2050000.0,S,Marshall,4/03/2017
386,Armadale,8/71 Denbigh Rd,2,u,700000.0,VB,Jellis,4/06/2016
387,Armadale,11/17 Myamyn St,2,u,3625000.0,S,Jellis,4/06/2016
388,Armadale,526 Orrong Rd,4,h,3000000.0,VB,Jellis,4/06/2016
389,Armadale,37 Barkly Av,2,h,1930000.0,S,Jellis,6/08/2016
390,Armadale,553 Dandenong Rd,5,h,1525000.0,PI,Jellis,7/05/2016
392,Armadale,9/19 Mercer Rd,3,u,735000.0,PI,Marshall,7/05/2016
393,Armadale,6/26 Mercer Rd,2,u,825000.0,S,Jellis,7/05/2016
394,Armadale,538a Orrong Rd,3,t,1586000.0,S,RT,7/05/2016
399,Armadale,18/41 Kooyong Rd,2,u,645000.0,S,Marshall,8/10/2016
400,Armadale,10 William St,1,h,1435000.0,SP,Jellis,8/10/2016
402,Armadale,15/405 Dandenong Rd,1,u,280000.0,PI,hockingstuart,10/09/2016
403,Armadale,1/2 Armadale St,1,u,400000.0,PI,hockingstuart,10/12/2016
405,Armadale,4/20 Mercer Rd,2,h,1780000.0,S,Marshall,10/12/2016
407,Armadale,8/58 Sutherland Rd,2,u,592500.0,S,hockingstuart,10/12/2016
409,Armadale,40 New St,2,h,1210000.0,S,Marshall,12/11/2016
410,Armadale,35 Northcote Rd,4,h,2801000.0,S,Marshall,12/11/2016
414,Armadale,7/53 Wattletree Rd,1,u,390000.0,S,Jellis,14/05/2016
416,Armadale,791 High St,3,h,1800000.0,PI,RT,15/10/2016
418,Armadale,25 Llaneast St,4,h,2200000.0,PI,Jellis,15/10/2016
420,Armadale,8/569 Orrong Rd,1,u,324000.0,S,Jellis,16/04/2016
426,Armadale,367 Dandenong Rd,6,h,5525000.0,S,Marshall,17/09/2016
