,Price
199,1674962.76
200,1674962.76
201,932680.0
202,1674962.76
203,1674962.76
204,932680.0
205,1674962.76
206,1674962.76
207,1674962.76
208,1674962.76
209,932680.0
210,1674962.76
211,1674962.76
212,1674962.76
213,1674962.76
214,932680.0
215,1674962.76
216,1674962.76
217,1674962.76
218,1674962.76
219,1674962.76
220,1674962.76
221,1674962.76
222,1652543.88
223,932680.0
224,1674962.76
225,1674962.76
226,1652543.88
227,932680.0
228,1674962.76
229,1674962.76
230,1674962.76
231,1674962.76
232,1674962.76
233,1674962.76
234,1674962.76
235,1674962.76
236,1674962.76
237,932680.0
238,1674962.76
239,1674962.76
240,1674962.76
241,1674962.76
242,1674962.76
243,1674962.76
244,1674962.76
245,1674962.76
246,1674962.76
247,932680.0
248,1674962.76
249,1674962.76
250,1674962.76
251,1674962.76
252,1674962.76
253,1674962.76
254,1674962.76
255,1674962.76
256,1674962.76
257,1674962.76
258,1652543.88
259,1674962.76
260,1674962.76
261,1652543.88
262,1674962.76
263,1674962.76
264,932680.0
265,1674962.76
266,1674962.76
267,1674962.76
268,1674962.76
269,1674962.76
270,1674962.76
271,1674962.76
272,1674962.76
273,932680.0
274,932680.0
275,1674962.76
276,1652543.88
277,1674962.76
278,932680.0
279,1674962.76
280,1674962.76
281,1674962.76
282,1674962.76
283,1674962.76
284,1674962.76
285,1652543.88
286,1674962.76
287,1674962.76
288,1674962.76
289,1674962.76
290,1674962.76
291,1674962.76
292,1674962.76
293,1674962.76
294,1674962.76
295,932680.0
296,1674962.76
297,1674962.76
298,1674962.76
299,932680.0
300,1674962.76
301,1674962.76
302,1674962.76
303,1674962.76
304,1674962.76
305,1674962.76
306,1674962.76
307,1674962.76
308,1674962.76
309,1674962.76
310,1674962.76
311,1674962.76
312,1674962.76
313,1674962.76
314,1674962.76
315,1652543.88
316,1674962.76
317,1674962.76
318,1674962.76
319,1674962.76
320,1652543.88
321,1674962.76
322,1674962.76
323,1674962.76
324,1674962.76
325,1674962.76
326,1674962.76
327,1674962.76
328,1674962.76
329,1674962.76
330,1674962.76
331,932680.0
332,1674962.76
333,1674962.76
334,1652543.88
335,1674962.76
336,1674962.76
337,932680.0
338,1674962.76
339,1674962.76
340,1674962.76
341,1674962.76
342,932680.0
343,1674962.76
344,1674962.76
345,1674962.76
346,1674962.76
347,1674962.76
348,1674962.76
349,1674962.76
350,1674962.76
351,1674962.76
352,1674962.76
353,932680.0
354,1674962.76
355,1674962.76
356,1674962.76
357,1674962.76
358,1674962.76
359,932680.0
360,1674962.76
361,1674962.76
362,1674962.76
363,1674962.76
364,1674962.76
365,1674962.76
366,1674962.76
367,1674962.76
368,1674962.76
369,1674962.76
370,1674962.76
371,1674962.76
372,1674962.76
373,1652543.88
374,1674962.76
375,932680.0
376,932680.0
377,5580960.0
378,932680.0
379,1674962.76
380,1674962.76
381,1674962.76
382,1674962.76
383,1674962.76
384,1674962.76
385,1674962.76
386,1674962.76
387,1674962.76
388,1674962.76
389,1652543.88
390,1674962.76
391,932680.0
392,1674962.76
393,1674962.76
394,1674962.76
395,1674962.76
396,1674962.76
397,1674962.76
398,1674962.76
399,1674962.76
400,1652543.88
401,1674962.76
402,1674962.76
403,1674962.76
404,1674962.76
405,1674962.76
406,1674962.76
407,1674962.76
408,1674962.76
409,1674962.76
410,1674962.76
411,1674962.76
412,1652543.88
413,1674962.76
414,910875.0
415,932680.0
416,1652543.88
417,1674962.76
418,932680.0
419,1674962.76
420,1652543.88
421,1674962.76
422,932680.0
423,1674962.76
424,1674962.76
425,1674962.76
426,1652543.88
427,932680.0
428,1674962.76
429,1674962.76
430,1674962.76
431,1652543.88
432,1674962.76
433,1674962.76
434,1652543.88
435,1674962.76
436,1674962.76
437,1674962.76
438,1674962.76
439,1674962.76
440,1674962.76
441,1674962.76
442,1674962.76
443,1674962.76
444,1674962.76
445,1674962.76
446,1674962.76
447,1674962.76
448,1674962.76
449,932680.0
450,1674962.76
451,1674962.76
452,1674962.76
453,1674962.76
454,1674962.76
455,932680.0
456,1674962.76
457,1674962.76
458,1674962.76
459,932680.0
460,1674962.76
461,1674962.76
462,1674962.76
463,1674962.76
464,1674962.76
465,1674962.76
466,1674962.76
467,1674962.76
468,1652543.88
469,1674962.76
470,1674962.76
471,932680.0
472,932680.0
473,1674962.76
474,1674962.76
475,1674962.76
476,1674962.76
477,1674962.76
478,1674962.76
479,1674962.76
480,1674962.76
481,1674962.76
482,1674962.76
483,1674962.76
484,1674962.76
485,1674962.76
486,1674962.76
487,1652543.88
488,1674962.76
489,1674962.76
490,1674962.76
491,1674962.76
492,1674962.76
493,932680.0
494,1674962.76
495,1674962.76
496,932680.0
497,910875.0
498,1674962.76
499,1674962.76
500,1674962.76
501,1674962.76
502,1674962.76
503,932680.0
504,1674962.76
505,932680.0
506,1674962.76
507,1674962.76
508,1652543.88
509,1674962.76
510,1674962.76
511,932680.0
512,1674962.76
513,1674962.76
514,1652543.88
515,1674962.76
516,1674962.76
517,1674962.76
518,1674962.76
519,1674962.76
520,1674962.76
521,1674962.76
522,1674962.76
523,932680.0
524,1674962.76
525,1674962.76
526,1674962.76
527,1674962.76
528,1674962.76
529,1674962.76
530,1674962.76
531,1652543.88
532,1674962.76
533,1674962.76
534,1674962.76
535,1674962.76
536,932680.0
537,1674962.76
538,932680.0
539,1674962.76
540,1674962.76
541,1674962.76
542,1674962.76
543,932680.0
544,932680.0
545,1674962.76
546,1674962.76
547,1674962.76
548,1674962.76
549,1674962.76
550,1674962.76
551,1652543.88
552,1674962.76
553,932680.0
554,1674962.76
555,1674962.76
556,1674962.76
557,1674962.76
558,1674962.76
559,1674962.76
560,932680.0
561,932680.0
562,1652543.88
563,1652543.88
564,1652543.88
565,1674962.76
566,1674962.76
567,932680.0
568,1674962.76
569,932680.0
570,1674962.76
571,1674962.76
572,1674962.76
573,1674962.76
574,1674962.76
575,1674962.76
576,932680.0
577,932680.0
578,932680.0
579,1674962.76
580,1674962.76
581,1674962.76
582,932680.0
583,1674962.76
584,932680.0
585,1674962.76
586,1652543.88
587,1674962.76
588,1674962.76
589,1674962.76
590,1674962.76
591,1674962.76
592,1674962.76
593,1674962.76
594,1674962.76
595,1652543.88
596,1652543.88
597,1674962.76
598,932680.0
599,1674962.76
600,932680.0
601,1674962.76
602,932680.0
603,1674962.76
604,1674962.76
605,1674962.76
606,1674962.76
607,1674962.76
608,1674962.76
609,1674962.76
610,932680.0
611,1674962.76
612,932680.0
613,1674962.76
614,1674962.76
615,1674962.76
616,1674962.76
617,1674962.76
618,1674962.76
619,1674962.76
620,1674962.76
621,1652543.88
622,1674962.76
623,1674962.76
624,1674962.76
625,1674962.76
626,1674962.76
627,1674962.76
628,1674962.76
629,1674962.76
630,1674962.76
631,932680.0
632,1674962.76
633,932680.0
634,1674962.76
635,1674962.76
636,1674962.76
637,932680.0
638,1674962.76
639,1674962.76
640,932680.0
641,1674962.76
642,932680.0
643,932680.0
644,1674962.76
645,1674962.76
646,1674962.76
647,932680.0
648,1652543.88
649,1674962.76
650,1674962.76
651,1674962.76
652,1674962.76
653,932680.0
654,1674962.76
655,932680.0
656,1674962.76
657,932680.0
658,932680.0
659,932680.0
660,1674962.76
661,910875.0
662,1674962.76
663,1652543.88
664,932680.0
665,1674962.76
666,1674962.76
667,1674962.76
668,1674962.76
669,1674962.76
670,1674962.76
671,1674962.76
672,1674962.76
673,1674962.76
674,1674962.76
675,1674962.76
676,1674962.76
677,1674962.76
678,1674962.76
679,1674962.76
680,1652543.88
681,1674962.76
682,1674962.76
683,1674962.76
684,1674962.76
685,1674962.76
686,1674962.76
687,1674962.76
688,1674962.76
689,1674962.76
690,1674962.76
691,1652543.88
692,1674962.76
693,932680.0
694,1674962.76
695,932680.0
696,1674962.76
697,1674962.76
698,1674962.76
699,932680.0
700,1674962.76
701,1652543.88
702,932680.0
703,1674962.76
704,1674962.76
705,1674962.76
706,932680.0
707,1674962.76
708,1674962.76
709,1674962.76
710,1674962.76
711,1652543.88
712,1674962.76
713,1674962.76
714,1674962.76
715,1674962.76
716,932680.0
717,1674962.76
718,1652543.88
719,1674962.76
720,1674962.76
721,1674962.76
722,1674962.76
723,932680.0
724,1674962.76
725,1674962.76
726,1674962.76
727,1674962.76
728,1674962.76
729,1674962.76
730,1674962.76
731,1674962.76
732,1674962.76
733,1674962.76
734,1674962.76
735,1652543.88
736,1674962.76
737,1686782.76
738,932680.0
739,1674962.76
740,932680.0
741,1674962.76
742,1674962.76
743,1674962.76
744,1674962.76
745,1674962.76
746,1674962.76
747,1674962.76
748,1674962.76
749,932680.0
750,1674962.76
751,1674962.76
752,1674962.76
753,1674962.76
754,1674962.76
755,1674962.76
756,1652543.88
757,1674962.76
758,1674962.76
759,1674962.76
760,1674962.76
761,1674962.76
762,1674962.76
763,1674962.76
764,1674962.76
765,1674962.76
766,1674962.76
767,1674962.76
768,932680.0
769,1674962.76
770,1674962.76
771,1674962.76
772,1652543.88
773,1674962.76
774,1674962.76
775,1674962.76
776,1674962.76
777,1652543.88
778,1674962.76
779,1674962.76
780,1674962.76
781,1674962.76
782,932680.0
783,1674962.76
784,1674962.76
785,1674962.76
786,1652543.88
787,1674962.76
788,1674962.76
789,1674962.76
790,1674962.76
791,1674962.76
792,1674962.76
793,1674962.76
794,932680.0
795,1674962.76
796,1674962.76
797,1674962.76
798,1674962.76
799,1652543.88
800,932680.0
801,1674962.76
802,1674962.76
803,1674962.76
804,1674962.76
805,1674962.76
806,1674962.76
807,1674962.76
808,1674962.76
809,1674962.76
810,1674962.76
811,1674962.76
812,1674962.76
813,1652543.88
814,1674962.76
815,1674962.76
816,1674962.76
817,1674962.76
818,1652543.88
819,1674962.76
820,1674962.76
821,1674962.76
822,1674962.76
823,1674962.76
824,1674962.76
825,1674962.76
826,1674962.76
827,932680.0
828,1674962.76
829,1674962.76
830,1674962.76
831,1674962.76
832,1674962.76
833,1652543.88
834,1674962.76
835,1674962.76
836,1674962.76
837,1652543.88
838,1674962.76
839,1674962.76
840,1674962.76
841,1674962.76
842,932680.0
843,1674962.76
844,1674962.76
845,1674962.76
846,1674962.76
847,1674962.76
848,1674962.76
849,1674962.76
850,1674962.76
851,1674962.76
852,1674962.76
853,1674962.76
854,1674962.76
855,1674962.76
856,1674962.76
857,1674962.76
858,1674962.76
859,1674962.76
860,1674962.76
861,1674962.76
862,932680.0
863,1674962.76
864,1674962.76
865,1674962.76
866,1674962.76
867,932680.0
868,1674962.76
869,1674962.76
870,1674962.76
871,1652543.88
872,932680.0
873,1674962.76
874,1674962.76
875,1674962.76
876,932680.0
877,1674962.76
878,1674962.76
879,932680.0
880,1674962.76
881,1674962.76
882,1674962.76
883,932680.0
884,1674962.76
885,932680.0
886,1674962.76
887,1652543.88
888,1674962.76
889,1674962.76
890,1674962.76
891,1674962.76
892,1674962.76
893,1674962.76
894,1674962.76
895,1674962.76
896,1674962.76
897,1674962.76
898,1652543.88
899,1674962.76
900,1674962.76
901,1674962.76
902,1674962.76
903,932680.0
904,1674962.76
905,1674962.76
906,1674962.76
907,1674962.76
908,932680.0
909,1674962.76
910,1674962.76
911,932680.0
912,1674962.76
913,1674962.76
914,1674962.76
915,1674962.76
916,1674962.76
917,932680.0
918,932680.0
919,1674962.76
920,1674962.76
921,1674962.76
922,1674962.76
923,1674962.76
924,1674962.76
925,1674962.76
926,1674962.76
927,1674962.76
928,1674962.76
929,932680.0
930,1674962.76
931,1674962.76
932,1674962.76
933,1674962.76
934,1674962.76
935,1674962.76
936,1674962.76
937,1674962.76
938,1674962.76
939,932680.0
940,1674962.76
941,932680.0
942,1674962.76
943,1674962.76
944,1674962.76
945,1674962.76
946,1674962.76
947,1674962.76
948,1674962.76
949,1674962.76
950,1674962.76
951,1674962.76
952,1674962.76
953,1674962.76
954,932680.0
955,1674962.76
956,1674962.76
957,1674962.76
958,932680.0
959,1674962.76
960,1674962.76
961,1674962.76
962,1674962.76
963,1674962.76
964,1674962.76
965,932680.0
966,932680.0
967,932680.0
968,1674962.76
969,1674962.76
970,1674962.76
971,1652543.88
972,1674962.76
973,1674962.76
974,1674962.76
975,1674962.76
976,1674962.76
977,910875.0
978,1674962.76
979,1674962.76
980,1674962.76
981,1674962.76
982,1652543.88
983,1674962.76
984,1674962.76
985,1674962.76
986,1674962.76
987,1652543.88
988,1674962.76
989,1674962.76
990,1674962.76
991,910875.0
992,1674962.76
993,1652543.88
994,1674962.76
995,1674962.76
996,1674962.76
997,1674962.76
998,1674962.76
999,1674962.76
1000,1674962.76
1001,1674962.76
1002,1674962.76
1003,1674962.76
1004,1674962.76
1005,1674962.76
1006,1674962.76
1007,932680.0
1008,1674962.76
1009,932680.0
1010,1652543.88
1011,1674962.76
1012,932680.0
1013,932680.0
1014,932680.0
1015,1674962.76
1016,1674962.76
1017,1674962.76
1018,1674962.76
1019,1674962.76
1020,1674962.76
1021,1674962.76
1022,1674962.76
1023,1674962.76
1024,1674962.76
1025,1652543.88
1026,1674962.76
1027,1674962.76
1028,1674962.76
1029,1674962.76
1030,932680.0
1031,1674962.76
1032,1674962.76
1033,1674962.76
1034,1674962.76
1035,1674962.76
1036,1674962.76
1037,1674962.76
1038,1652543.88
1039,1674962.76
1040,1674962.76
1041,1652543.88
1042,1674962.76
1043,932680.0
1044,932680.0
1045,1674962.76
1046,1674962.76
1047,1674962.76
1048,1674962.76
1049,1674962.76
1050,1674962.76
1051,932680.0
1052,1674962.76
1053,1674962.76
1054,932680.0
1055,932680.0
1056,1674962.76
1057,1674962.76
1058,1674962.76
1059,1674962.76
1060,1674962.76
1061,1674962.76
1062,1674962.76
1063,1674962.76
1064,1652543.88
1065,1674962.76
1066,1674962.76
1067,1674962.76
1068,1674962.76
1069,1674962.76
1070,1674962.76
1071,1674962.76
1072,1674962.76
1073,1674962.76
1074,1674962.76
1075,1674962.76
1076,1674962.76
1077,1674962.76
1078,1674962.76
1079,932680.0
1080,1674962.76
1081,1674962.76
1082,1674962.76
1083,1674962.76
1084,1652543.88
1085,1674962.76
1086,1674962.76
1087,932680.0
1088,1674962.76
1089,1674962.76
1090,1674962.76
1091,1674962.76
1092,1674962.76
1093,1674962.76
1094,1674962.76
1095,1674962.76
1096,1674962.76
1097,932680.0
1098,1652543.88
1099,1674962.76
1100,1652543.88
1101,1674962.76
1102,1674962.76
1103,932680.0
1104,932680.0
1105,1674962.76
1106,932680.0
1107,1674962.76
1108,1674962.76
1109,1674962.76
1110,1674962.76
1111,1674962.76
1112,932680.0
1113,1674962.76
1114,1674962.76
1115,1674962.76
1116,1674962.76
1117,1674962.76
1118,932680.0
1119,1674962.76
1120,1674962.76
1121,1674962.76
1122,1674962.76
1123,1674962.76
1124,1674962.76
1125,1674962.76
1126,1674962.76
1127,1674962.76
1128,932680.0
1129,1674962.76
1130,1674962.76
1131,1674962.76
1132,1674962.76
1133,1674962.76
1134,1674962.76
1135,1674962.76
1136,932680.0
1137,1674962.76
1138,932680.0
1139,1674962.76
1140,932680.0
1141,1652543.88
1142,1674962.76
1143,1674962.76
1144,1674962.76
1145,1674962.76
1146,1674962.76
1147,1674962.76
1148,932680.0
1149,1674962.76
1150,1674962.76
1151,1674962.76
1152,1652543.88
1153,1674962.76
1154,1674962.76
1155,1674962.76
1156,1674962.76
1157,932680.0
1158,1674962.76
1159,1674962.76
1160,1674962.76
1161,1674962.76
1162,932680.0
1163,1674962.76
1164,1674962.76
1165,1652543.88
1166,932680.0
1167,932680.0
1168,932680.0
1169,1674962.76
1170,1674962.76
1171,932680.0
1172,1674962.76
1173,1674962.76
1174,1674962.76
1175,1674962.76
1176,932680.0
1177,1674962.76
1178,932680.0
1179,932680.0
1180,932680.0
1181,1674962.76
1182,1674962.76
1183,1674962.76
1184,932680.0
1185,1674962.76
1186,1674962.76
1187,1652543.88
1188,1674962.76
1189,1674962.76
1190,1674962.76
1191,1674962.76
1192,932680.0
1193,1674962.76
1194,1674962.76
1195,1674962.76
1196,932680.0
1197,1674962.76
1198,1674962.76
1199,932680.0
1200,1674962.76
1201,1674962.76
1202,1674962.76
1203,1674962.76
1204,1674962.76
1205,932680.0
1206,1674962.76
1207,1674962.76
1208,1674962.76
1209,1674962.76
1210,1674962.76
1211,932680.0
1212,1674962.76
1213,1674962.76
1214,1674962.76
1215,1674962.76
1216,1674962.76
1217,932680.0
1218,1674962.76
1219,932680.0
1220,1674962.76
1221,1674962.76
1222,1674962.76
1223,932680.0
1224,1674962.76
1225,1674962.76
1226,1674962.76
1227,1674962.76
1228,1674962.76
1229,1674962.76
1230,1674962.76
1231,932680.0
1232,932680.0
1233,1674962.76
1234,1674962.76
1235,1674962.76
1236,932680.0
1237,1674962.76
1238,1652543.88
