,Rooms,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount,Price
762,1,5.9,3055.0,1.0,0.0,0.0,37.0,1960.0,-37.7763,144.947,7082.0,300000.0
262,3,10.5,3034.0,1.0,1.0,550.0,143.0,1970.0,-37.7632,144.8622,4502.0,627500.0
543,4,13.1,3128.0,2.0,2.0,590.0,231.0,1924.0,-37.8274,145.1242,4605.0,1670000.0
674,2,5.2,3056.0,1.0,1.0,0.0,66.0,2000.0,-37.7695,144.9528,11918.0,410000.0
701,4,5.2,3056.0,2.0,3.0,271.0,180.0,1900.0,-37.7769,144.9691,11918.0,1800000.0
5021,4,34.7,3977.0,2.0,1.0,534.0,152.0,2002.0,-38.09083,145.20139,2756.0,555698.0
4248,3,12.8,3033.0,1.0,1.0,535.0,134.0,1980.0,-37.7475,144.852,5629.0,745000.0
5654,3,4.3,3032.0,2.0,2.0,352.0,204.0,1997.0,-37.77413,144.87533,4918.0,1200000.0
1564,3,9.2,3146.0,2.0,2.0,328.0,176.0,1990.0,-37.8529,145.0605,10412.0,1375000.0
4057,2,5.2,3056.0,1.0,2.0,173.0,77.0,1970.0,-37.7586,144.9653,11918.0,735000.0
6028,3,14.7,3030.0,1.0,3.0,567.0,121.0,1980.0,-37.88666,144.66149,16166.0,452000.0
3909,2,8.2,3012.0,1.0,2.0,462.0,101.0,1960.0,-37.8009,144.8653,5058.0,850000.0
5202,4,34.9,3201.0,2.0,2.0,550.0,172.0,2010.0,-38.08981,145.17353,8060.0,525000.0
4224,3,7.5,3123.0,2.0,2.0,0.0,187.0,2010.0,-37.8302,145.0527,6482.0,1264000.0
1795,3,10.5,3081.0,2.0,2.0,250.0,125.0,2012.0,-37.7449,145.0523,2947.0,706750.0
2171,4,8.7,3032.0,2.0,2.0,215.0,231.0,2000.0,-37.7817,144.8916,4918.0,770000.0
5371,4,14.5,3087.0,1.0,3.0,541.0,145.0,1960.0,-37.69778,145.08516,1442.0,710000.0
1697,4,13.7,3188.0,3.0,2.0,398.0,220.0,2014.0,-37.9381,145.0161,5454.0,1250000.0
295,5,9.7,3103.0,3.0,2.0,678.0,349.0,2001.0,-37.8048,145.0708,5682.0,2800000.0
1928,3,12.8,3033.0,2.0,1.0,320.0,133.0,2013.0,-37.7415,144.8668,5629.0,710000.0
1992,3,5.6,3101.0,2.0,2.0,397.0,80.0,1940.0,-37.8013,145.0335,10331.0,1575000.0
3751,2,7.5,3123.0,1.0,1.0,0.0,55.0,1967.0,-37.8278,145.0565,6482.0,460000.0
5937,3,13.8,3188.0,2.0,2.0,220.0,139.0,2014.0,-37.93487,145.00093,5454.0,1405000.0
2518,2,14.7,3167.0,1.0,1.0,806.0,89.0,1965.0,-37.9112,145.0873,3692.0,778000.0
5864,3,6.3,3013.0,2.0,2.0,444.0,122.0,1945.0,-37.81662,144.866,6543.0,982500.0
4108,2,11.4,3163.0,1.0,1.0,0.0,73.0,1980.0,-37.8981,145.0619,7822.0,635000.0
4263,3,9.2,3012.0,2.0,2.0,159.0,128.0,2016.0,-37.785,144.8673,3873.0,675000.0
4018,3,10.5,3034.0,1.0,1.0,585.0,99.0,1960.0,-37.7574,144.8574,4502.0,760000.0
4585,2,6.7,3058.0,1.0,1.0,350.0,100.0,1920.0,-37.74483,144.97269,11204.0,900000.0
2368,2,8.4,3015.0,1.0,2.0,255.0,109.0,1930.0,-37.8469,144.8766,5498.0,760000.0
6030,3,14.7,3030.0,1.0,1.0,633.0,88.0,1960.0,-37.89444,144.65591,16166.0,485000.0
5625,3,13.8,3188.0,1.0,1.0,587.0,131.0,1950.0,-37.94087,145.03366,2356.0,1345000.0
1073,4,7.8,3058.0,1.0,1.0,856.0,189.0,1970.0,-37.7432,144.9481,11204.0,1400000.0
4595,7,16.1,3111.0,2.0,4.0,5022.0,409.54,2004.0,-37.76598,145.19329,4790.0,2705000.0
4161,2,5.8,3078.0,1.0,1.0,0.0,87.0,2002.0,-37.7847,145.0109,2970.0,676000.0
818,4,11.8,3105.0,2.0,2.0,693.0,212.0,1975.0,-37.7743,145.0863,4480.0,1100000.0
6098,4,24.8,3156.0,2.0,2.0,659.0,177.0,1992.0,-37.89508,145.27879,10788.0,890000.0
5769,2,5.1,3011.0,1.0,1.0,318.0,106.0,1910.0,-37.79529,144.88453,7570.0,991000.0
3108,3,3.3,3141.0,2.0,1.0,181.0,148.0,1990.0,-37.8334,144.9867,14887.0,1700000.0
3196,4,6.1,3182.0,2.0,2.0,436.0,211.0,1880.0,-37.8629,144.9887,13240.0,1950000.0
5191,4,12.1,3083.0,2.0,2.0,520.0,261.0,2004.0,-37.68155,145.04945,10175.0,880000.0
4968,4,8.9,3084.0,1.0,2.0,630.0,237.0,1950.0,-37.74863,145.07202,2890.0,1230000.0
2272,3,6.9,3039.0,2.0,1.0,283.0,222.0,2002.0,-37.7638,144.9175,6232.0,1250000.0
737,3,5.2,3056.0,2.0,1.0,110.0,118.0,2000.0,-37.7776,144.9691,11918.0,640000.0
1851,4,7.9,3079.0,2.0,2.0,925.0,208.0,1925.0,-37.7652,145.041,5549.0,2265000.0
5408,2,10.1,3163.0,1.0,1.0,0.0,72.0,1970.0,-37.9003,145.06342,7822.0,580010.0
1387,2,5.8,3078.0,1.0,1.0,0.0,70.0,1970.0,-37.7755,145.0178,2970.0,505000.0
5527,3,8.2,3041.0,2.0,2.0,288.0,94.0,1970.0,-37.73415,144.91852,3284.0,750000.0
3803,4,9.0,3079.0,2.0,2.0,830.0,315.0,1950.0,-37.7679,145.0673,1554.0,1660000.0
5029,3,31.7,3429.0,1.0,6.0,639.0,120.0,1990.0,-37.56291,144.72848,14092.0,455000.0
3259,2,13.3,3020.0,1.0,4.0,343.0,81.0,1960.0,-37.7689,144.8402,4217.0,435000.0
1606,4,13.0,3046.0,1.0,4.0,606.0,124.0,1956.0,-37.7104,144.9088,8870.0,702000.0
117,3,11.1,3025.0,2.0,2.0,276.0,100.0,2010.0,-37.8262,144.8443,5132.0,620000.0
5949,2,5.4,3101.0,1.0,2.0,0.0,90.0,1887.0,-37.79413,145.02382,10331.0,591000.0
2324,3,8.4,3015.0,2.0,1.0,178.0,102.0,2009.0,-37.8416,144.8651,5498.0,655800.0
2196,1,2.8,3000.0,1.0,1.0,0.0,64.0,1920.0,-37.8157,144.9727,17496.0,700000.0
4843,3,35.4,3198.0,1.0,2.0,648.0,96.0,1960.0,-38.11014,145.14336,8077.0,540000.0
5586,4,17.5,3169.0,2.0,2.0,625.0,625.0,1950.0,-37.92801,145.1057,2727.0,1241000.0
2537,4,9.9,3044.0,2.0,1.0,215.0,157.0,1990.0,-37.7247,144.9257,7485.0,605000.0
5953,3,41.0,3910.0,1.0,2.0,230.0,102.0,2002.0,-38.16404,145.18781,8743.0,447000.0
1490,2,6.4,3011.0,1.0,2.0,657.0,92.0,1940.0,-37.7909,144.8884,7570.0,950000.0
4580,2,7.7,3124.0,1.0,1.0,131.0,76.0,1975.0,-37.84716,145.07351,8920.0,677000.0
5638,3,14.0,3047.0,1.0,2.0,704.0,94.0,1950.0,-37.6845,144.90761,851.0,550000.0
6046,3,13.8,3165.0,2.0,2.0,669.0,138.0,1960.0,-37.91289,145.08065,10969.0,1260000.0
2308,3,14.6,3189.0,2.0,2.0,261.0,107.0,1990.0,-37.9429,145.0474,2555.0,800000.0
4139,6,7.8,3058.0,3.0,4.0,768.0,285.0,1997.0,-37.7397,144.9603,11204.0,1455000.0
1965,2,4.2,3031.0,1.0,1.0,0.0,84.0,2010.0,-37.7948,144.9314,5263.0,460000.0
2885,3,2.6,3121.0,1.0,0.0,250.0,115.0,1900.0,-37.8167,144.9978,14949.0,1555000.0
4958,4,12.9,3043.0,2.0,4.0,474.0,210.0,2000.0,-37.70626,144.89551,1071.0,945000.0
3788,3,10.6,3084.0,1.0,2.0,600.0,190.0,1950.0,-37.752,145.0722,2890.0,1110000.0
2234,3,6.9,3039.0,2.0,3.0,477.0,258.0,2014.0,-37.7661,144.9076,6232.0,1550000.0
5176,3,13.8,3165.0,2.0,2.0,614.0,197.0,1950.0,-37.91068,145.06802,10969.0,1430000.0
5246,2,24.8,3156.0,2.0,1.0,306.0,120.0,2011.0,-37.87275,145.26325,10788.0,617000.0
5675,2,4.6,3181.0,1.0,0.0,192.0,100.0,1910.0,-37.85562,145.00571000000005,7717.0,1250000.0
5712,4,27.2,3024.0,2.0,1.0,512.0,179.0,2005.0,-37.87959,144.60977,5262.0,500000.0
2395,1,2.3,3051.0,1.0,1.0,1045.0,55.0,2011.0,-37.802,144.9516,6821.0,410000.0
821,4,11.7,3125.0,2.0,2.0,1145.0,111.0,1960.0,-37.8538,145.127,5678.0,1890000.0
3309,4,11.2,3127.0,3.0,2.0,771.0,312.0,2000.0,-37.8239,145.0969,5457.0,2128000.0
379,4,9.2,3104.0,2.0,5.0,754.0,175.0,1960.0,-37.786,145.0886,7809.0,1700000.0
67,4,3.3,3206.0,2.0,1.0,330.0,207.0,1910.0,-37.8477,144.9558,3280.0,4735000.0
1010,3,13.6,3148.0,2.0,2.0,277.0,143.0,2010.0,-37.8796,145.1044,3582.0,865000.0
5935,4,11.2,3046.0,1.0,2.0,652.0,158.0,1960.0,-37.70542,144.95127,2606.0,741000.0
5833,2,2.4,3121.0,2.0,2.0,0.0,89.0,2008.0,-37.82201,145.0104,14949.0,800000.0
5580,4,8.4,3126.0,2.0,2.0,650.0,275.0,2006.0,-37.83057,145.08482,3265.0,2725000.0
226,3,11.0,3147.0,2.0,2.0,710.0,139.0,1945.0,-37.8653,145.0897,3052.0,1500000.0
5771,2,15.4,3131.0,1.0,1.0,581.0,116.4,1970.0,-37.84207,145.17795,4385.0,1020000.0
4606,3,36.9,3200.0,2.0,1.0,691.0,109.0,1960.0,-38.11948,145.14928,2500.0,611000.0
2153,3,8.7,3032.0,2.0,2.0,1396.0,175.0,1955.0,-37.7833,144.888,4918.0,1072000.0
2986,3,11.4,3084.0,2.0,1.0,323.0,142.0,2015.0,-37.7359,145.0614,3540.0,1012000.0
722,3,5.2,3056.0,1.0,2.0,384.0,89.0,1940.0,-37.7626,144.9535,11918.0,985000.0
2249,2,6.9,3039.0,1.0,1.0,301.0,80.0,1920.0,-37.7695,144.9092,6232.0,860000.0
6182,5,14.7,3152.0,3.0,2.0,818.0,255.0,1985.0,-37.87846,145.24212,7082.0,1310000.0
3981,5,12.7,3018.0,3.0,6.0,705.0,313.0,2005.0,-37.864,144.8437,852.0,1415000.0
4827,3,8.4,3072.0,2.0,2.0,515.0,126.0,1920.0,-37.74794,144.99111000000005,14577.0,1210000.0
5513,4,35.4,3198.0,2.0,0.0,1151.0,207.0,1969.0,-38.11336,145.15035,8077.0,800000.0
2630,2,3.8,3207.0,1.0,1.0,0.0,72.0,1996.0,-37.8398,144.9404,8648.0,600000.0
5480,2,20.0,3194.0,1.0,1.0,128.0,72.0,1972.0,-37.98346,145.06313,6162.0,640000.0
1407,2,1.6,3065.0,2.0,2.0,0.0,105.0,2000.0,-37.7953,144.9775,5825.0,880000.0
698,3,5.2,3056.0,2.0,1.0,0.0,112.0,1900.0,-37.7703,144.9533,11918.0,641000.0
5877,3,21.5,3195.0,2.0,2.0,612.0,154.0,1960.0,-38.01596,145.09932,2824.0,970000.0
267,2,10.5,3034.0,1.0,1.0,220.0,101.0,1995.0,-37.756,144.8641,4502.0,522500.0
3811,3,14.5,3047.0,1.0,2.0,647.0,173.0,1960.0,-37.6904,144.9121,851.0,600000.0
2770,2,11.2,3073.0,1.0,1.0,146.0,84.0,1980.0,-37.719,145.0014,21650.0,427500.0
4832,2,12.0,3073.0,1.0,1.0,0.0,94.0,2009.0,-37.7106,145.00177,21650.0,521000.0
4333,4,11.8,3204.0,2.0,2.0,314.0,189.0,2000.0,-37.9084,145.0532,3578.0,1425000.0
2458,2,5.5,3070.0,1.0,3.0,453.0,93.0,1920.0,-37.7666,145.0132,11364.0,1170000.0
4557,2,5.1,3181.0,1.0,1.0,0.0,79.0,1965.0,-37.8559,144.999,4380.0,585000.0
1702,3,13.7,3188.0,2.0,2.0,357.0,120.0,1970.0,-37.9449,145.0144,5454.0,1050000.0
3147,4,6.1,3182.0,2.0,3.0,420.0,160.0,1910.0,-37.8667,144.9832,13240.0,2000000.0
4624,2,11.7,3033.0,2.0,2.0,62.0,62.0,2014.0,-37.73893,144.87661,5629.0,520000.0
1861,1,7.9,3079.0,1.0,1.0,845.0,59.0,1960.0,-37.7591,145.0501,5549.0,413000.0
1076,2,7.8,3058.0,1.0,1.0,0.0,73.0,1975.0,-37.7435,144.9563,11204.0,537500.0
4416,3,9.7,3041.0,2.0,2.0,371.0,183.0,2014.0,-37.7229,144.9055,3284.0,1021000.0
5206,3,17.9,3192.0,1.0,2.0,584.0,112.0,1950.0,-37.96911,145.07271,9758.0,1145000.0
3519,3,8.0,3016.0,2.0,2.0,506.0,180.0,2010.0,-37.8658,144.8857,6380.0,1460000.0
4850,5,20.5,3752.0,5.0,3.0,700.0,270.0,2010.0,-37.6236,145.10629,7969.0,905000.0
2414,2,2.3,3051.0,1.0,2.0,1004.0,65.0,1971.0,-37.7926,144.9441,6821.0,550055.0
4164,3,12.4,3060.0,1.0,3.0,578.0,128.0,1960.0,-37.6966,144.9695,5070.0,741000.0
241,3,12.2,3147.0,2.0,4.0,400.0,94.0,1950.0,-37.8675,145.106,2894.0,761000.0
324,5,9.7,3103.0,3.0,2.0,715.0,420.0,2009.0,-37.8028,145.0768,5682.0,3020000.0
1348,3,8.0,3040.0,1.0,1.0,687.0,120.0,2016.0,-37.7442,144.9045,9264.0,1470000.0
465,3,13.9,3165.0,1.0,4.0,726.0,131.0,1950.0,-37.9117,145.0695,10969.0,1050000.0
14,2,2.5,3067.0,2.0,1.0,124.0,135.0,2013.0,-37.8079,144.9977,4019.0,1100000.0
5674,4,4.6,3181.0,2.0,2.0,401.0,154.0,1910.0,-37.85565,145.00839,7717.0,2635000.0
5996,3,20.5,3752.0,2.0,2.0,330.0,118.0,2008.0,-37.64027,145.08745,7969.0,500000.0
479,3,13.9,3165.0,1.0,3.0,780.0,140.0,1940.0,-37.9347,145.0507,10969.0,900000.0
413,3,13.0,3204.0,1.0,2.0,624.0,143.0,1950.0,-37.9256,145.0374,6795.0,1370000.0
376,4,9.2,3104.0,2.0,2.0,644.0,153.0,1950.0,-37.7997,145.0993,7809.0,1250000.0
4677,3,6.4,3012.0,1.0,2.0,422.0,109.0,1950.0,-37.79644,144.86388,5058.0,845000.0
2586,3,9.9,3044.0,1.0,2.0,191.0,92.0,2013.0,-37.7168,144.9329,7485.0,500000.0
1188,3,13.9,3108.0,2.0,2.0,900.0,195.0,1970.0,-37.7902,145.1344,9028.0,1250000.0
1646,4,13.0,3046.0,2.0,1.0,624.0,258.0,2005.0,-37.6969,144.9334,8870.0,638000.0
3580,3,7.0,3013.0,1.0,1.0,138.0,82.0,1890.0,-37.82,144.891,6543.0,770000.0
3591,4,7.0,3013.0,2.0,1.0,319.0,171.0,1915.0,-37.8197,144.8957,6543.0,1320000.0
6106,3,11.2,3046.0,1.0,1.0,422.0,104.0,1960.0,-37.70425,144.93164,8870.0,680000.0
2981,3,11.4,3084.0,1.0,2.0,627.0,154.0,1970.0,-37.7367,145.0797,3540.0,780000.0
3104,3,3.3,3141.0,1.0,1.0,178.0,172.0,1894.0,-37.8404,145.0022,14887.0,1700000.0
236,3,11.0,3147.0,1.0,1.0,697.0,164.0,1947.0,-37.8636,145.0903,3052.0,1650000.0
4804,3,6.2,3039.0,2.0,2.0,596.0,203.0,1950.0,-37.76086,144.90497,6232.0,1850000.0
3433,1,4.6,3142.0,1.0,1.0,0.0,38.0,1958.0,-37.8369,145.0077,7217.0,349000.0
840,4,11.7,3125.0,2.0,2.0,399.0,212.0,2005.0,-37.8597,145.1084,5678.0,1270000.0
828,4,11.7,3125.0,2.0,1.0,921.0,174.0,1950.0,-37.8494,145.1291,5678.0,1682000.0
5990,2,2.4,3121.0,2.0,1.0,0.0,77.0,2011.0,-37.813,144.99303,14949.0,685000.0
1147,3,1.6,3066.0,2.0,1.0,82.0,82.0,1995.0,-37.7961,144.9873,4553.0,897500.0
4085,4,5.9,3055.0,2.0,2.0,518.0,160.0,1980.0,-37.7606,144.9499,7082.0,1205000.0
4922,3,16.7,3168.0,1.0,1.0,816.0,130.0,1965.0,-37.92027,145.12937,5837.0,1462000.0
1527,3,6.4,3011.0,2.0,2.0,102.0,102.0,2011.0,-37.7987,144.8807,7570.0,757000.0
4112,4,11.4,3163.0,2.0,2.0,615.0,193.0,1920.0,-37.8928,145.0531,7822.0,1667000.0
5862,4,6.8,3016.0,2.0,0.0,388.0,178.0,1900.0,-37.86159,144.89926,6380.0,1920000.0
3823,3,7.8,3012.0,2.0,2.0,275.0,145.0,1920.0,-37.8118,144.8801,1808.0,1035000.0
2357,2,8.4,3015.0,1.0,1.0,229.0,101.0,2000.0,-37.8368,144.8768,5498.0,680000.0
5801,4,17.4,3048.0,3.0,0.0,653.0,122.0,1985.0,-37.65155,144.91912,4704.0,515000.0
5366,2,7.0,3071.0,1.0,1.0,120.0,70.0,1975.0,-37.75668,145.00929,8870.0,745000.0
68,4,3.3,3206.0,2.0,1.0,183.0,145.0,1880.0,-37.8434,144.9495,3280.0,2140000.0
5451,3,16.1,3088.0,2.0,2.0,743.0,147.0,1980.0,-37.71733,145.09622,8524.0,866000.0
2988,4,11.4,3084.0,2.0,4.0,604.0,230.0,1950.0,-37.7435,145.0686,3540.0,1270000.0
430,4,13.0,3204.0,1.0,5.0,594.0,150.0,1940.0,-37.9206,145.0383,6795.0,1281000.0
4279,2,2.8,3000.0,1.0,0.0,0.0,60.0,2006.0,-37.8084,144.9602,17496.0,452000.0
5717,3,9.4,3025.0,1.0,1.0,180.0,88.0,1965.0,-37.83648,144.86296000000004,5132.0,451500.0
194,3,5.9,3032.0,2.0,1.0,272.0,157.0,1900.0,-37.7774,144.928,6567.0,1130000.0
4319,2,5.5,3070.0,1.0,1.0,181.0,85.0,1925.0,-37.7659,144.9903,11364.0,1050000.0
186,3,5.9,3032.0,2.0,2.0,617.0,149.0,1930.0,-37.7742,144.906,6567.0,1180000.0
6024,3,14.5,3087.0,1.0,1.0,598.0,104.4,1975.0,-37.717,145.08891,2329.0,830000.0
2427,2,5.5,3070.0,2.0,1.0,0.0,69.0,2011.0,-37.7793,144.9972,11364.0,583000.0
2140,2,8.7,3032.0,1.0,1.0,0.0,88.0,2004.0,-37.7716,144.882,4918.0,355000.0
4425,3,13.5,3020.0,1.0,1.0,534.0,120.0,1975.0,-37.7886,144.821,6763.0,716000.0
2697,2,8.8,3072.0,1.0,2.0,220.0,106.0,2005.0,-37.7442,145.0168,14577.0,600000.0
4271,2,11.2,3145.0,1.0,1.0,259.0,99.0,1970.0,-37.8718,145.0526,8801.0,1211000.0
1218,4,10.3,3084.0,3.0,2.0,1177.0,291.0,1960.0,-37.7652,145.0687,1651.0,2309000.0
4703,2,5.2,3056.0,1.0,1.0,234.0,106.0,1910.0,-37.77539,144.95576,11918.0,1315000.0
1197,4,13.9,3108.0,3.0,2.0,657.0,275.0,2010.0,-37.7954,145.1379,9028.0,1520000.0
1700,4,13.7,3188.0,1.0,2.0,1504.0,162.0,1900.0,-37.944,145.0015,5454.0,2600000.0
4435,2,11.2,3127.0,2.0,1.0,323.0,96.0,1980.0,-37.823,145.0993,5457.0,1250000.0
1959,3,4.2,3031.0,2.0,2.0,250.0,147.0,1900.0,-37.792,144.9324,5263.0,1260000.0
4745,1,7.2,3184.0,1.0,1.0,1192.0,45.0,2009.0,-37.88306,144.9841,8989.0,420000.0
5102,4,8.4,3145.0,3.0,2.0,552.0,355.0,2015.0,-37.87421,145.04958,8801.0,3600000.0
1141,1,1.6,3066.0,1.0,1.0,3701.0,62.0,2005.0,-37.809,144.9911,4553.0,415000.0
2682,3,4.5,3181.0,2.0,1.0,112.0,100.0,1900.0,-37.8517,145.0056,7717.0,1220000.0
1269,2,7.7,3184.0,1.0,1.0,0.0,62.0,1950.0,-37.8831,144.9896,8989.0,510000.0
5853,4,14.7,3152.0,3.0,2.0,728.0,153.0,1990.0,-37.88009,145.22736,7082.0,1045000.0
5838,2,35.4,3198.0,1.0,1.0,150.0,106.0,1970.0,-38.12477,145.13668,8077.0,386000.0
4806,5,26.5,3138.0,2.0,2.0,1254.0,186.75,1980.0,-37.79026,145.33738,8280.0,872000.0
